iter	Passed	Remaining
147	20449	48636
148	20572	48463
149	20713	48332
150	20857	48208
151	20991	48059
152	21117	47894
153	21250	47744
154	21360	47543
155	21506	47424
156	21627	47250
157	21756	47092
158	21875	46914
159	21999	46749
160	22127	46592
161	22257	46437
162	22367	46243
163	22501	46101
164	22655	45997
165	22793	45861
166	22908	45679
167	23064	45579
168	23176	45392
169	23307	45243
170	23461	45139
171	23595	44996
172	23732	44858
173	23878	44737
174	24015	44599
175	24136	44432
176	24282	44311
177	24435	44203
178	24566	44055
179	24692	43896
180	24847	43792
181	25002	43686
182	25180	43618
183	25309	43465
184	25467	43364
185	25604	43224
186	25746	43094
187	25878	42947
188	26008	42797
189	26129	42632
190	26243	42456
191	26415	42374
192	26528	42197
193	26659	42050
194	26784	41893
195	26902	41726
196	27015	41551
197	27166	41435
198	27281	41264
199	27386	41079
200	27513	40928
201	27652	40794
202	27789	40657
203	27920	40511
204	28040	40350
205	28185	40225
206	28316	40080
207	28451	39941
208	28607	39831
209	28729	39673
210	28848	39513
211	29002	39399
212	29120	39237
213	29244	39083
214	29363	38923
215	29515	38807
216	29663	38685
217	29808	38559
218	29969	38453
219	30129	38347
220	30247	38186
221	30368	38028
222	30502	37888
223	30633	37744
224	30760	37595
225	30894	37455
226	31030	37318
227	31168	37183
228	31297	37037
229	31407	36869
230	31537	36725
231	31672	36587
232	31783	36420
233	31900	36263
234	32021	36108
235	32143	35956
236	32270	35810
237	32459	35733
238	32601	35602
239	32756	35485
240	32945	35406
241	33076	35263
242	33222	35136
243	33340	34980
244	33480	34847
245	33611	34704
246	33734	34553
247	33895	34442
248	34041	34314
249	34167	34167
250	34289	34015
251	34427	33881
252	34560	33741
253	34718	33625
254	34862	33495
255	34988	33348
256	35112	33199
257	35230	33045
258	35370	32912
259	35507	32776
260	35624	32621
261	35772	32495
262	35926	32374
263	36065	32240
264	36214	32114
265	36326	31956
266	36465	31822
267	36588	31673
268	36704	31519
269	36824	31368
270	36945	31219
271	37064	31068
272	37180	30915
273	37295	30761
274	37409	30607
275	37558	30482
276	37692	30344
277	37835	30214
278	37961	30069
279	38103	29938
280	38238	29801
281	38396	29682
282	38546	29556
283	38667	29409
284	38818	29283
285	38999	29181
286	39153	29058
287	39277	28912
288	39421	28781
289	39570	28654
290	39688	28504
291	39828	28370
292	39945	28220
293	40119	28111
294	40302	28006
295	40449	27877
296	40580	27736
297	40742	27617
298	40917	27506
299	41065	27377
300	41184	27228
301	41289	27070
302	41413	26925
303	41541	26783
304	41653	26631
305	41761	26476
306	41895	26338
307	42036	26204
308	42155	26057
309	42257	25899
310	42370	25749
311	42494	25605
312	42676	25496
313	42823	25367
314	42966	25234
315	43115	25105
316	43249	24967
317	43381	24828
318	43552	24711
319	43692	24577
320	43846	24450
321	43996	24321
322	44121	24178
323	44251	24038
324	44396	23905
325	44532	23769
326	44690	23643
327	44813	23499
328	44948	23362
329	45081	23223
330	45222	23089
331	45343	22945
332	45493	22815
333	45668	22697
334	45799	22558
335	45942	22424
336	46065	22280
337	46182	22134
338	46326	22001
339	46462	21864
340	46567	21713
341	46679	21565
342	46783	21414
343	46899	21268
344	47026	21127
345	47156	20988
346	47304	20857
347	47434	20718
348	47566	20580
349	47708	20446
350	47864	20318
351	47987	20176
352	48125	20040
353	48274	19909
354	48412	19774
355	48531	19630
356	48681	19500
357	48825	19366
358	48983	19238
359	49108	19097
360	49256	18965
361	49372	18821
362	49506	18684
363	49648	18550
364	49759	18404
365	49918	18276
366	50065	18143
367	50210	18010
368	50356	17877
369	50477	17735
370	50585	17588
371	50717	17451
372	50908	17333
373	51078	17208
374	51233	17077
375	51360	16938
376	51468	16792
377	51598	16653
378	51725	16514
379	51873	16381
380	52013	16245
381	52123	16101
382	52276	15969
383	52422	15836
384	52595	15710
385	52748	15578
386	52880	15440
387	52995	15297
388	53121	15158
389	53274	15026
390	53386	14882
391	53509	14742
392	53634	14602
393	53789	14471
394	53940	14338
395	54076	14202
396	54241	14072
397	54365	13932
398	54521	13801
399	54721	13680
400	54850	13541
401	54977	13402
402	55094	13260
403	55236	13125
404	55459	13009
405	55608	12874
406	55727	12733
407	55874	12599
408	56010	12461
409	56136	12322
410	56294	12190
411	56449	12057
412	56573	11917
413	56698	11778
414	56826	11639
415	56937	11496
416	57067	11358
417	57189	11218
418	57342	11085
419	57490	10950
420	57626	10813
421	57745	10673
422	57878	10535
423	58016	10399
424	58160	10263
425	58299	10127
426	58452	9993
427	58580	9854
428	58733	9720
429	58921	9591
430	59049	9453
431	59195	9317
432	59351	9183
433	59596	9063
434	59751	8928
435	59993	8806
436	60233	8683
437	60380	8547
438	60561	8415
439	60796	8290
440	60979	8158
441	61099	8017
442	61203	7874
443	61347	7737
444	61502	7601
445	61721	7472
446	61924	7342
447	62108	7208
448	62228	7068
449	62331	6925
450	62452	6785
451	62572	6644
452	62699	6505
453	62832	6366
454	62965	6227
455	63101	6088
456	63289	5954
457	63450	5818
458	63603	5681
459	63789	5546
460	64163	5428
461	64314	5289
462	64468	5151
463	64589	5011
464	64708	4870
465	64854	4731
466	64997	4592
467	65148	4454
468	65300	4316
469	65443	4177
470	65596	4038
471	65729	3899
472	65879	3760
473	65991	3619
474	66117	3479
475	66233	3339
476	66355	3199
477	66466	3059
478	66601	2919
479	66703	2779
480	66825	2639
481	66944	2499
482	67065	2360
483	67211	2221
484	67356	2083
485	67503	1944
486	67629	1805
487	67784	1666
488	67935	1528
489	68069	1389
490	68227	1250
491	68356	1111
492	68494	972
493	68628	833
494	68785	694
495	68909	555
496	69040	416
497	69184	277
498	69319	138
499	69452	0
