iter	RMSE
189	4145714.703
190	4141865.052
191	4140405.57
192	4138522.246
193	4136797.792
194	4134443.709
195	4132480.972
196	4129416.041
197	4128685.663
198	4125997.011
199	4123366.014
200	4121373.259
201	4117457.966
202	4115208.098
203	4112577.247
204	4109076.784
205	4108300.124
206	4106288.176
207	4103879.132
208	4103162.41
209	4099625.569
210	4097062.291
211	4096010.377
212	4094584.566
213	4091449.133
214	4090171.54
215	4088192.779
216	4087425.922
217	4084010.412
218	4082177.574
219	4081288.824
220	4078932.078
221	4075699.167
222	4072784.092
223	4069741.474
224	4067180.654
225	4066055.614
226	4064385.62
227	4063033.407
228	4061286.665
229	4058895.499
230	4057939.065
231	4056633.975
232	4054404.637
233	4051510.487
234	4049301.665
235	4047161.001
236	4044528.501
237	4043807.663
238	4042096.312
239	4041333.154
240	4038525.076
241	4035009.353
242	4032810.812
243	4031105.483
244	4029517.596
245	4027815.213
246	4025881.351
247	3995635.167
248	3995224.779
249	3994560.527
250	3992078.379
251	3990613.605
252	3988820.368
253	3986316.721
254	3983003.261
255	3980035.847
256	3978133.782
257	3976553.819
258	3974559.362
259	3971000.585
260	3969073.74
261	3966741.902
262	3965662.95
263	3962614.562
264	3962199.182
265	3959583.569
266	3956986.586
267	3956308.934
268	3954552.565
269	3952011.879
270	3950552.107
271	3948279.284
272	3946617.191
273	3945039.709
274	3942720.148
275	3941902.595
276	3940460.367
277	3939400.809
278	3937254.927
279	3936647.839
280	3934834.967
281	3933340.217
282	3930033.237
283	3927454.508
284	3916836.874
285	3915827.529
286	3914347.309
287	3912817.812
288	3911908.644
289	3910455.444
290	3908504.567
291	3905833.977
292	3904162.354
293	3902293.763
294	3901923.988
295	3900524.162
296	3899102.554
297	3897007.383
298	3895212.288
299	3894061.379
300	3892503.33
301	3891118.876
302	3889826.267
303	3887813.392
304	3885862.711
305	3884481.437
306	3883271.371
307	3882550.203
308	3880927.632
309	3879565.701
310	3877553.605
311	3876612.377
312	3875260.763
313	3872655.269
314	3871366.301
315	3870408.8
316	3869852.839
317	3868395.037
318	3867735.082
319	3866136.18
320	3865424.452
321	3864070.373
322	3861254.548
323	3858924.85
324	3858291.743
325	3854989.002
326	3853774.215
327	3853064.298
328	3852333.236
329	3851372.775
330	3850084.392
331	3848884.955
332	3820774.339
333	3818953.03
334	3816724.25
335	3815464.921
336	3813724.347
337	3812574.445
338	3795043.309
339	3793695.908
340	3792540.177
341	3790858.452
342	3789761.708
343	3788534.823
344	3786680.621
345	3786048.173
346	3784868.947
347	3784457.163
348	3782631.274
349	3779616.202
350	3778564.558
351	3777153.333
352	3775420.847
353	3773527.156
354	3772203.894
355	3771210.967
356	3757248.484
357	3756575.098
358	3754950.883
359	3753862.414
360	3753556.375
361	3752497.202
362	3750558.89
363	3748837.875
364	3747906.554
365	3747140.631
366	3745044.238
367	3744318.927
368	3743462.886
369	3743088.824
370	3742590.289
371	3741671.132
372	3740439.052
373	3739738.932
374	3715297.012
375	3713323.298
376	3712377.863
377	3710802.503
378	3708764.379
379	3707290.476
380	3706041.075
381	3705670.232
382	3682825.415
383	3681860.624
384	3680818.877
385	3679330.689
386	3678173.771
387	3677283.786
388	3676329.59
389	3675132.702
390	3674334.927
391	3673527.056
392	3672689.579
393	3671174.984
394	3670155.189
395	3668257.408
396	3666865.03
397	3666527.349
398	3665341.27
399	3664228.745
400	3663483.406
401	3662391.458
402	3661624.212
403	3661062.936
404	3659375.424
405	3658980.634
406	3658700.34
407	3656833.698
408	3655228.349
409	3653912.308
410	3653565.067
411	3651977.315
412	3650872.193
413	3650295.259
414	3649634.299
415	3648457.516
416	3648071.324
417	3647814.199
418	3647138.835
419	3645666.532
420	3643629.357
421	3642874.836
422	3641241.214
423	3640304.404
424	3639118.623
425	3637922.487
426	3637564.539
427	3637168.494
428	3635830.383
429	3635415.857
430	3634209.638
431	3633562.943
432	3631778.833
433	3630982.626
434	3630770.11
435	3629823.29
436	3628380.671
437	3626163.431
438	3623336.288
439	3622992.261
440	3622650.45
441	3622119.229
442	3621139.044
443	3620199.983
444	3619591.501
445	3618683.856
446	3617567.249
447	3615761.009
448	3614373.723
449	3613798.025
450	3612729.366
451	3612111.102
452	3611739.215
453	3602622.133
454	3602144.996
455	3600790.945
456	3600084.848
457	3599618.781
458	3598721.577
459	3598194.57
460	3597867.858
461	3597060.303
462	3596401.279
463	3595503.13
464	3594962.7
465	3593839.166
466	3592781.875
467	3592480.978
468	3591223.165
469	3589354.959
470	3588737.896
471	3587181.909
472	3585918.735
473	3585446.561
474	3584696.729
475	3584247.47
476	3583430.136
477	3582358.535
478	3581133.757
479	3580675.451
480	3578351.991
481	3576429.318
482	3575959.314
483	3575241.579
484	3574894.125
485	3573420.208
486	3572970.6
487	3571348.415
488	3570761.037
489	3570628.62
490	3569631.067
491	3568858.163
492	3568059.396
493	3566681.773
494	3566159.989
495	3565669.526
496	3565252.892
497	3563763.841
498	3563168.277
499	3560916.352
